nombre,descripcion,imagen
"EcoFlow Delta 2 - 1024Wh","Transporte Gratis. Garantia: 7 dias. Precio: 830 USD. Escribir al 54320330",delta2_1024.jpeg
"EcoFlow Delta 3 Max - 2048Wh","Mensajeri incluida en la Habana. Garantia: 7 dias. Precio: 1490. Escribir al 54320330",delta3max.jpeg
"EcoFlow Delta 3 Plus - 1024Wh","Alimenta: TV 32 (20h), Refri (3-7h), Ventilador (14h), Luces LED (34h), o Todo (TV+Refri+Luces+Ventilador 4-6h). Capacidad: 1024Wh (LiFePO4, 4000 ciclos al 80%). Potencia: 1800W (Nominal) / 3600W (Pico), X-Boost hasta 2600W. Salidas: 6x AC, 2x USB-C (140W), 2x USB-A, 12V, 2x DC5521. Carga 0-100% en 56 min. Solar: 1000W (2 puertos MPPT, 70 min carga). Garantia: 7 dias. Precio: 970.",delta3plus.jpg
"EcoFlow Delta 3 Classic - 1024Wh","Alimenta: TV 32 (20h), Refri (3-7h), Ventilador (14h), Luces LED (34h), o Luces+TV+Ventilador (>10h). Capacidad: 1024Wh (LiFePO4, +3000 ciclos al 80%). Potencia: 1800W (Nominal) / 3600W (Pico), X-Boost hasta 2600W. Salidas: Multiples AC, 2x USB-C, 2x USB-A, 12V, DC5521. Carga X-Stream: 0-80% en 45 min, completa en 60 min. Solar: 500W (2.5h). Garantia: 7 dias. Precio: 775.",delta3classic.jpg
"EcoFlow Delta 3 1500 - 1536Wh","Alimenta: TV 32 (30h), Refri (5-10h), Ventilador (21h), Luces LED (51h), o Todo (TV+Refri+Luces+Ventilador 6-8h). Capacidad: 1536Wh (LiFePO4, +3000 ciclos al 80%). Potencia: 1800W (Nominal) / 3600W (Pico), X-Boost hasta 2400W. Salidas: Multiples AC, 2x USB-C, 4x USB-A. Carga X-Stream 0-100% en 90 min. Ampliable hasta 5.5kWh. Solar: 500W (3.5h). Garantia: 7 dias. Precio: 950.",delta3_1500.jpg
"EcoFlow Delta 3 - 1024Wh","Alimenta: TV 32 (20h), Refri (4-8h), Ventilador (14h), Luces LED (34h), o Todo (TV+Refri+Luces+Ventilador 4-6h). Capacidad: 1024Wh (LiFePO4). Potencia: 1800W (Nominal) / 3600W (Pico), X-Boost hasta 2400W. Salidas: 2x AC, USB-C (100W y 30W), USB-A (12W). Carga X-Stream: 0-80% en 45 min, completa en 60 min. Ampliable hasta 5kWh. Solar: 500W (2.5h). Garantia: 7 dias. Precio: 930.",delta3_1024.jpg
"EcoFlow Delta Pro Ultra - 6kWh","Alimenta toda la casa. Nevera+TV+Ventilador+Luces (>24h), A/A Split 12k (5h), Cocina Induccion (4h). Ideal para apagones prolongados. Capacidad base: 6kWh (LiFePO4). Expandible hasta 90kWh. Potencia: 7200W (Nominal) / 10000W (Pico). Salidas: Multiples AC, USB-C, USB-A, 12V. Carga 0-100% en 2h. Solar: hasta 6000W entrada. Garantia: 1 semana. Transporte incluido. Precio: 4620.",deltaProUltra.jpg
"Kit Solar Must 3kW - 5kWh","Respuesta para apagones. Alimenta: Nevera+TV+Ventilador+Luces LED >15h. Autonomia ilimitada durante el dia con sol. Inversor Hibrido Must 3kW (110/220V). 2 Baterias 24V x 100Ah (total 5kWh). 4 Paneles Bifaciales de 575W (2300W total). Transfer incluido. Garantia: 2 meses. Instalacion y transporte en La Habana incluidos. Precio: 4700.",must3kW.jpg
"Kit Solar Must 6kW - 15kWh","Solucion completa para apagones. Alimenta: Nevera+TV+Ventilador+Luces LED >15h. Autonomia ilimitada durante el dia con sol. Inversor Hibrido Nexstar 6kW (110/220V). 3 Baterias DAH SOLAR 51.2V x 100Ah (total 15kWh). 8 Paneles Bifaciales de 620W. Transfer incluido. Garantia: 3 meses. Instalacion y transporte en La Habana incluidos.",must6kW.jpg
"Sistema Todo en Uno InfiniSolar 6kW - 15.3kWh","Alimenta toda la casa. Nevera+TV+Ventilador+Luces (>60h), Split 12k (12-13h), Cocina Induccion (10h). Modo Hibrido. Inversor 6000W. Capacidad bateria: 15.3kWh (LiFePO4, +6000 ciclos). Salida 110V/220V simultaneo. MPPT hasta 5000W (80A). Carga de red hasta 1920W. Expansible. Garantia: 2 meses. Transporte incluido. Precio: 3900.",infinisolar.jpg
"Ventilador Recargable F6","Mensajeria gratis a algunos lugares. Garantia de 7 dias. Precio: 75. Escribir al 54320330",F6.jpeg
